City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,coronel vivida,-25.9797,-52.5678,14.67,98,100,1.4,BR,1723137454
154,changqing,36.5575,116.7272,26.99,81,98,0.9,CN,1723137455
155,capao bonito,-24.0058,-48.3494,29.96,25,54,4.85,BR,1723137456
156,bethel,41.3712,-73.414,20.05,89,100,3.6,US,1723137457
157,beau vallon,-20.4189,57.6953,22.13,78,75,5.66,MU,1723137458
158,qusmuryn,52.4503,64.6311,17.49,89,100,8.06,KZ,1723137459
159,crane,31.3974,-102.3501,36.24,18,0,1.41,US,1723137460
160,dryden,49.7833,-92.7503,11.16,100,100,4.63,CA,1723137178
161,siracusa,37.0881,15.2792,27.05,65,35,4.8,IT,1723137463
162,fort mcmurray,56.7268,-111.381,21.73,52,0,2.06,CA,1723137429
163,beaufort west,-32.3567,22.583,15.03,25,0,5.28,ZA,1723137465
164,kloulklubed,7.0419,134.2556,28.11,71,100,0.85,PW,1723137466
165,sinabang,2.4803,96.3801,26.06,85,100,0.79,ID,1723137467
166,tralee,52.2704,-9.7026,17.14,100,100,10.29,IE,1723137468
167,ribeira grande,38.5167,-28.7,26.22,65,20,3.09,PT,1723137469
168,chonchi,-42.6128,-73.8092,8.97,75,100,1.31,CL,1723137387
169,newcastle,-32.9272,151.7765,12.06,87,100,2.57,AU,1723137471
170,filipstad,59.7124,14.1683,19.32,62,100,3.81,SE,1723137472
171,gazli,40.1333,63.45,37.48,11,4,3.1,UZ,1723137473
172,lihue,21.9789,-159.3672,24.77,81,40,4.12,US,1723137474
173,thann,47.8167,7.0833,25.73,54,1,1.31,FR,1723137475
174,haiku-pauwela,20.9219,-156.3051,24.59,75,20,5.66,US,1723137477
175,shalqar,47.8333,59.6,25.42,49,79,5.25,KZ,1723137478
176,torghay,49.6339,63.4981,24.3,67,95,3.16,KZ,1723137479
177,xiaoweizhai,26.1903,107.5125,22.51,96,58,2.81,CN,1723137480
178,jamestown,42.097,-79.2353,24.8,83,75,7.2,US,1723137314
179,hermanus,-34.4187,19.2345,14.17,80,43,9.91,ZA,1723137451
180,manhumirim,-20.3578,-41.9581,28.25,29,1,2.33,BR,1723137483
181,caleta de carquin,-11.0925,-77.6267,18.91,73,70,4.48,PE,1723137484
182,coyotepec,19.775,-99.2072,21.26,50,9,2.41,MX,1723137485
183,puerto palomas,31.7667,-107.6167,29.93,36,97,3.84,MX,1723137486
184,hamilton,39.1834,-84.5333,29.01,70,75,3.09,US,1723137180
185,berezovyy,51.6667,135.7,16.55,98,100,1.29,RU,1723137490
186,enewetak,11.3474,162.3373,28.57,79,35,6.54,MH,1723137491
187,tolanaro,-25.0319,46.9987,21.04,83,20,10.8,MG,1723137492
188,yuzhno-kurilsk,44.0306,145.8556,18.44,100,99,2.11,RU,1723137448
189,tocopilla,-22.092,-70.1979,18.15,75,0,4.54,CL,1723137494
190,ath thawrah,35.8469,38.5443,34.63,35,0,9.67,SY,1723137495
191,shitanjing,39.2342,106.3439,18.65,84,100,8.89,CN,1723137496
192,mount pearl,47.5166,-52.7813,23.19,55,75,6.69,CA,1723137497
193,mejit,10.2753,170.8646,27.98,80,84,8.07,MH,1723137498
194,mombetsu,44.3525,143.3525,19.65,95,78,2.7,JP,1723137499
195,zhangye,38.9342,100.4517,18.57,58,95,3.74,CN,1723137501
196,greensboro,36.0726,-79.792,22.76,95,100,7.72,US,1723137207
197,picota,-6.9197,-76.3304,34.53,40,30,0.48,PE,1723137504
198,san mariano,7.5,126.0,23.16,95,100,0.9,PH,1723137505
199,ranot,7.7777,100.3213,28.32,78,76,0.9,TH,1723137506
200,nishinoomote,30.7333,131.0,29.58,76,0,5.21,JP,1723137507
201,santa ana,33.7456,-117.8678,26.58,67,20,3.09,US,1723137316
202,maragogi,-9.0122,-35.2225,25.41,74,48,6.09,BR,1723137298
203,mahur,25.1667,93.1167,21.36,95,100,1.24,IN,1723137510
204,sovetskaya,44.7769,41.1722,24.06,39,5,2.98,RU,1723137511
205,natal,-5.795,-35.2094,29.36,61,40,6.69,BR,1723137512
206,newman,37.3138,-121.0208,32.69,15,0,1.08,US,1723137452
207,kismayo,-0.3582,42.5454,24.64,76,17,6.84,SO,1723137515
208,susuman,62.7833,148.1667,8.84,86,100,1.07,RU,1723137442
209,tuy hoa,13.0833,109.3,26.71,84,22,2.15,VN,1723137517
210,weno,7.4515,151.8468,26.97,89,75,1.54,FM,1723137518
211,berlin,52.5244,13.4105,23.86,52,0,3.6,DE,1723136940
212,colares,38.7992,-9.4469,23.52,69,20,12.35,PT,1723137520
213,antigonish,45.6169,-61.9986,23.97,50,22,0.89,CA,1723137521
214,tazovsky,67.4667,78.7,9.04,71,50,6.43,RU,1723137462
215,dali,25.7,100.1833,17.99,94,45,2.39,CN,1723137523
216,mori,34.8333,137.9333,25.65,88,32,1.53,JP,1723137524
217,fale old settlement,-9.3852,-171.2468,27.97,76,93,8.4,TK,1723137439
218,pangody,65.85,74.4859,10.71,68,96,5.29,RU,1723137527
219,sosnovo-ozerskoye,52.5249,111.5418,11.22,86,11,1.4,RU,1723137528
